bill_no,period_from,period_to,index_ref_date,fixed_proportion,fuel_o,fuel_n,bitumen_o,bitumen_n,steel_o,steel_n,cement_o,cement_n,equipment_o,equipment_n,labour_o,labour_n,metal_o,metal_n,adjustment_factor_pn,ipc_amount,amount_after_adjustment,adjustment_amount,fuel_ret_pct,bitumen_ret_pct,steel_ret_pct,cement_ret_pct,equipment_ret_pct,labour_ret_pct,metal_ret_pct,adjustment_pct_of_ipc
1,2019-04-25,2019-08-31,2019-07-13,0.2,224.9,201.9,298,316.0,239,216.9,252.3,258.6,219.3,232.6,209.6,209.6,239,216.9,0.9965452554039043,2194524.571993454,2186943.05008736,-7581.521906093694,-10.22676745220098,6.040268456375841,-9.24686192468619,2.4970273483947647,6.064751481988129,0.0,-9.24686192468619,-0.3454744596095737
2,2019-09-01,2020-01-31,2019-12-13,0.2,224.9,191.3,298,244.1,239,207.3,252.3,258.0,219.3,234.2,209.6,209.6,239,207.3,0.9380436934098998,2757680.8959831344,2586825.172913941,-170855.7230691933,-14.939973321476208,-18.08724832214765,-13.263598326359826,2.2592152199762072,6.794345645234823,0.0,-13.263598326359826,-6.195630659010021
3,2020-02-01,2020-02-29,2020-01-11,0.2,224.9,190.3,298,242.2,239,212.1,252.3,257.2,219.3,236.3,209.6,209.6,239,212.1,0.9399769453641509,1991554.622459472,1872015.430545309,-119539.19191416283,-15.384615384615385,-18.724832214765108,-11.255230125523019,1.9421323820848047,7.751937984496116,0.0,-11.255230125523019,-6.002305463584916
4,2020-03-01,2020-03-31,2020-02-11,0.2,224.9,175.8,298,244.7,239,209.1,252.3,256.8,219.3,236.5,209.6,209.6,239,209.1,0.9332573004608018,1832422.4636063045,1710121.6416889515,-122300.82191735297,-21.831925300133392,-17.885906040268463,-12.51046025104603,1.7835909631391145,7.843137254901955,0.0,-12.51046025104603,-6.674269953919822
5,2020-04-01,2020-05-31,2020-04-12,0.2,224.9,90.3,298,232.4,239,204.7,252.3,260.3,219.3,236.6,209.6,209.6,239,204.7,0.8856567012801827,2052905.0914284468,1818169.1513158102,-234735.94011263666,-59.84882169853268,-22.013422818791938,-14.351464435146443,3.1708283789139813,7.888736890104875,0.0,-14.351464435146443,-11.434329871981726
6,2020-06-01,2020-08-31,2020-07-13,0.2,224.9,146.0,298,233.5,239,200.9,252.3,262.8,219.3,236.5,209.6,209.6,239,200.9,0.9097218662253056,2175419.6036480838,1979026.7816538494,-196392.82199423434,-35.08225878168075,-21.64429530201343,-15.941422594142251,4.161712247324623,7.843137254901955,0.0,-15.941422594142251,-9.027813377469439
7,2020-09-01,2020-11-30,2020-10-12,0.2,224.9,146.6,298,239.9,239,207.4,252.3,262.9,219.3,236.7,209.6,209.6,239,207.4,0.9184942860097041,3203830.4133622753,2942699.9280173583,-261130.48534491705,-34.815473543797246,-19.496644295302012,-13.221757322175732,4.201347602061034,7.934336525307795,0.0,-13.221757322175732,-8.150571399029587
8,2020-12-01,2021-01-31,2020-12-13,0.2,224.9,164.6,298,275.2,239,230.7,252.3,262.8,219.3,236.8,209.6,209.6,239,230.7,0.9648185135568039,4577563.138462312,4416517.662963626,-161045.4754986856,-26.811916407292134,-7.651006711409403,-3.47280334728034,4.161712247324623,7.979936160510714,0.0,-3.47280334728034,-3.5181486443196013
9,2021-02-01,2021-03-31,2021-02-10,0.2,224.9,196.8,298,307.4,239,260.5,252.3,264.6,219.3,241.1,209.6,209.6,239,260.5,1.0221238758141928,3617775.900193151,3697815.124932604,80039.22473945282,-12.494441974210757,3.1543624161073813,8.995815899581583,4.875148632580273,9.940720474236198,0.0,8.995815899581583,2.2123875814192795
10,2021-04-01,2021-04-30,2021-03-12,0.2,224.9,225.2,298,316.0,239,292.2,252.3,264.4,219.3,241.3,209.6,209.6,239,292.2,1.060430848538355,2495785.6371821067,2646608.0810068604,150822.44382475363,0.13339261894174115,6.040268456375841,22.25941422594142,4.795877923107406,10.031919744642037,0.0,22.25941422594142,6.043084853835497
