bill_no,period_from,period_to,index_ref_date,fixed_proportion,fuel_o,fuel_n,bitumen_o,bitumen_n,steel_o,steel_n,cement_o,cement_n,equipment_o,equipment_n,labour_o,labour_n,metal_o,metal_n,adjustment_factor_pn,ipc_amount,amount_after_adjustment,adjustment_amount,fuel_ret_pct,bitumen_ret_pct,steel_ret_pct,cement_ret_pct,equipment_ret_pct,labour_ret_pct,metal_ret_pct,adjustment_pct_of_ipc
1,2019-04-25,2019-08-31,2019-07-13,0.2,126.82,133.99,101.42,102.15,120.03,120.06,105.53,92.71,99.72,98.44,103.34,102.6,109.77,107.35,0.9903952052789384,1514482852.0876641,1499936555.1847942,-14546296.90286994,5.653682384481962,0.7197791362650419,0.024993751562107924,-12.1482043020942,-1.2835940633774579,-0.7160828333655944,-2.204609638334698,-0.9604794721061618
3,2020-02-01,2020-02-29,2020-01-11,0.2,126.82,130.76,101.42,105.19,120.03,124.92,105.53,90.99,99.72,99.33,103.34,105.26,109.77,106.31,0.9980438914609272,1814723438.0677903,1811173642.0545304,-3549796.0132598877,3.10676549440152,3.7172155393413453,4.073981504623836,-13.778072585994504,-0.39109506618532075,1.8579446487323459,-3.1520451853876197,-0.1956108539072763
4,2020-03-01,2020-03-31,2020-02-11,0.2,126.82,131.09,101.42,105.19,120.03,125.28,105.53,90.69,99.72,99.37,103.34,105.43,109.77,106.52,0.9986479656305794,1582943677.8839862,1580803483.62663,-2140194.257356167,3.366976817536682,3.7172155393413453,4.373906523369153,-14.06235193783758,-0.3509827517047648,2.0224501645055293,-2.960736084540405,-0.13520343694205786
5,2020-04-01,2020-05-31,2020-04-12,0.2,126.82,129.69,101.42,105.58,120.03,127.64,105.53,90.7,99.72,99.39,103.34,105.07,109.77,108.16,1.0002972236249297,431671318.7373843,431799621.6515176,128302.91413331032,2.2630499921148184,4.101755077893898,6.340081646255102,-14.052875959442812,-0.3309265944644979,1.6740855428681867,-1.466703106495404,0.02972236249297024
6,2020-06-01,2020-08-31,2020-07-13,0.2,126.82,128.75,101.42,105.19,120.03,128.56,105.53,91.74,99.72,99.47,103.34,105.4,109.77,113.6,1.0056707185048521,1984251663.9165778,1995503796.5454333,11252132.628855467,1.5218419807601302,3.7172155393413453,7.106556694159805,-13.067374206386816,-0.2507019655034082,1.9934197793690656,3.489113601166083,0.567071850485218
2,2020-09-01,2020-01-31,2019-12-13,0.2,126.82,130.89,101.42,104.0,120.03,125.16,105.53,91.97,99.72,98.49,103.34,103.32,109.77,107.25,0.9940263726697023,2514600989.23432,2499579700.0402365,-15021289.19408369,3.2092729853335333,2.5438769473476563,4.2739315171207215,-12.84942670330712,-1.233453670276774,-0.019353590090975814,-2.2957092101667076,-0.597362733029767
8,2020-12-01,2021-01-31,2020-12-13,0.2,126.82,128.13,101.42,105.39,120.03,129.83,105.53,92.3,99.72,99.41,103.34,105.67,109.77,114.52,1.0078057831383904,4232233647.3391805,4265269545.381309,33035898.042128563,1.0329601009304579,3.914415302701646,8.164625510289113,-12.536719416279729,-0.310870437224231,2.2546932455970614,4.327229662020593,0.7805783138390373
9,2021-02-01,2021-03-31,2021-02-10,0.2,126.82,124.78,101.42,107.56,120.03,131.95,105.53,91.53,99.72,99.69,103.34,106.81,109.77,114.18,1.0112227206426159,3305853117.1108184,3342953783.129674,37100666.01885557,-1.6085790884718398,6.054032735160719,9.930850620678155,-13.266369752676965,-0.030084235860405872,3.3578478807818835,4.017491117791749,1.1222720642615862
10,2021-04-01,2021-04-30,2021-03-12,0.2,126.82,125.43,101.42,108.75,120.03,131.84,105.53,91.32,99.72,99.69,103.34,106.97,109.77,116.42,1.016109991347238,2286691959.56774,2323530547.250175,36838587.682435036,-1.0960416338116952,7.227371327154408,9.839206864950434,-13.465365298967125,-0.030084235860405872,3.512676601509579,6.05812152682883,1.6109991347238017
11,2021-05-01,2021-06-30,2021-05-12,0.2,126.82,126.47,101.42,107.67,120.03,132.46,105.53,91.85,99.72,99.74,103.34,107.21,109.77,114.32,1.0140462034577336,3853370339.65112,3907495563.4398556,54125223.78873539,-0.2759817063554548,6.1624926050088735,10.355744397234034,-12.963138444044354,0.020056157240277983,3.744919682601111,4.145030518356552,1.404620345773353
