h,beta_brent,lo95,hi95,p_value
0,-4.5102810375396984e-17,-1.6202060589517636e-16,7.181498514438239e-17,0.44958943096764203
1,0.02435590469370392,-0.005566256757068556,0.05427806614447639,0.11062463225456932
2,0.02772207495368621,-0.007018262615152562,0.06246241252252498,0.11780824707479416
3,-0.005560021298932329,-0.035382682677831935,0.024262640079967278,0.7148017976124905
4,-0.0168532265065223,-0.047845716682601167,0.014139263669556566,0.28650635922786694
5,0.0216858213204989,-0.003975138851453602,0.047346781492451404,0.09764560974705154
6,0.02789298921280211,-0.001468755072501389,0.05725473349810561,0.0626093745416318
7,-0.004687035752456645,-0.029489743472565298,0.02011567196765201,0.7110944719180372
8,-0.004763601402266104,-0.02349637529743512,0.013969172492902911,0.6181929489747948
9,0.018132928530815884,-0.0057199024452361455,0.04198575950686791,0.1362262006699525
10,0.01684329276707723,-0.005817754991956282,0.039504340526110744,0.14516867832487423
11,0.008742892674061071,-0.0051843885440586,0.02267017389218074,0.21854888976277032
12,-0.004437666953628319,-0.018994332543959675,0.010118998636703038,0.5501635408133226
