material,cum_brent_beta_l0_l6,peak_lag_month,n_sig_lags_p_lt_0_10,adj_r2
NAILS,0.30618051977326527,2,7,
DIESEL,0.22784902088340434,1,6,0.2735954211696877
IRONSTEEL,0.12482802970634803,1,7,
SAND,0.092920372395097,0,0,-0.05374400766840215
CEM,0.07668676991022848,4,0,-0.08663661284376167
STEEL,0.04515945483206922,6,1,-0.01269683245577835
AGG,0.041756799423291205,2,0,-0.04352767859132034
PIPES,0.03685772080610737,5,0,-0.053086532742256276
PAINT,0.01699291169838424,2,0,-0.040342321483864296
TIMBER,0.016424780559868665,3,3,0.05866365005092322
LIME,0.002005732782385781,4,0,-0.0808337629490341
BRICK,0.001869791510714803,2,0,-0.04164304346301262
IRON,-0.009264067520148644,6,0,-0.06061399567941783
TILES,-0.014604340740506337,3,2,-0.029669071818972714
LABOUR,-0.022848591755901013,0,1,0.0959330212964642
ALU,-0.023417519412302364,5,7,
CLAY,-0.041462793116146084,1,2,-0.011832625918126283
MURRAM,-0.30878002829073387,4,7,
