h,beta_diesel,lo95,hi95,p_value
0,0.19953840041729412,0.10645482781542934,0.29262197301915893,2.6509392792211378e-05
1,0.018353837745757474,-0.07896420820796043,0.11567188369947537,0.7116440086314818
2,0.04080389349286796,-0.08762698889241434,0.16923477587815028,0.5334728763850862
3,0.06317775150974748,-0.017774348163131615,0.14412985118262658,0.1261033441834648
4,0.04918319513034035,-0.048752592593605384,0.1471189828542861,0.3249636800874337
5,-0.00912245887256213,-0.060082179378464357,0.0418372616333401,0.7256890846470272
6,-0.03970559381670557,-0.11730458448198286,0.03789339684857173,0.31591572811983404
7,-0.006752618165344677,-0.054332713824974344,0.04082747749428499,0.7808854703063892
8,0.13416865522120294,-0.050936972207220516,0.31927428264962643,0.15541813490178727
9,0.021075253861293164,-0.04680843245001505,0.08895894017260138,0.5428532253762723
10,-0.05776977662322401,-0.15298541958947848,0.037445866343030446,0.23436791787524247
11,-0.02676939248586246,-0.07122531719047881,0.01768653221875389,0.23791059941365367
12,0.042521906385273506,-0.04331849897450277,0.12836231174504978,0.3315952530373446
